pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
AU Mic b,AU Mic,Transit,2020,8.46308,0.0649,3.95677019,87.351625,0.00577,21.2,600.0,3678.0,0.744,0.51,0.23,9.7221,8.81,7.84038
AU Mic c,AU Mic,Transit,2021,18.85969,0.1108,2.52202066,87.351625,0.00338,7.3,459.0,3678.0,0.744,0.51,0.23,9.7221,8.81,7.84038
BD+20 594 b,BD+20 594,Transit,2016,41.6855,0.0688,2.57807,22.2481,0.0,80.45,939.0,5766.0,1.08,1.67,-0.15,179.461,10.849,10.8644
BD-14 3065 b,BD-14 3065 A,Transit,2024,4.2889731,0.0656,21.59,3932.0,0.066,80.45,2001.0,6935.0,2.35,1.41,-0.34,589.423,11.1,10.91
CoRoT-1 b,CoRoT-1,Transit,2008,1.5089557,0.0688,16.7,327.35,0.0,80.45,1898.0,5950.0,1.11,0.95,-0.3,787.909,13.623,13.457
CoRoT-10 b,CoRoT-10,Transit,2010,13.2406,0.1055,10.87,874.0,0.53,80.45,600.0,5075.0,0.79,0.89,0.26,338.386,15.293,14.6645
CoRoT-11 b,CoRoT-11,Transit,2010,2.99433,0.0436,16.03,740.51,0.0,80.45,1657.0,6440.0,1.37,1.27,-0.03,655.037,12.897,12.841
CoRoT-12 b,CoRoT-12,Transit,2010,2.828042,0.04016,16.14,291.438,0.07,80.45,1442.0,5675.0,1.116,1.078,0.16,1126.37,15.588,15.3453
CoRoT-13 b,CoRoT-13,Transit,2010,4.03519,0.051,9.92,415.704,0.0,80.45,1700.0,5945.0,1.01,1.09,0.01,1148.93,15.005,14.9147
CoRoT-14 b,CoRoT-14,Transit,2010,1.51214,0.027,12.22,2415.4,0.0,80.45,1952.0,6035.0,1.21,1.13,0.05,1744.6,15.932,15.8116
CoRoT-16 b,CoRoT-16,Transit,2011,5.35227,0.0618,13.11,170.032,0.33,80.45,939.0,5650.0,1.19,1.098,0.19,732.409,16.052,15.6507
CoRoT-17 b,CoRoT-17,Transit,2011,3.7681,0.0461,11.43,772.29,0.0,80.45,1626.0,5740.0,1.59,1.04,0.0,1176.12,16.29,15.4368
CoRoT-18 b,CoRoT-18,Transit,2011,1.9000693,0.0295,14.68,1102.82,0.08,80.45,1550.0,5440.0,1.0,0.95,-0.1,764.889,14.868,14.8009
CoRoT-19 b,CoRoT-19,Transit,2011,3.89713,0.0518,14.46,352.78,0.047,80.45,2000.0,6090.0,1.65,1.21,-0.02,790.663,14.135,13.7831
CoRoT-2 b,CoRoT-2,Transit,2008,1.7429935,0.02798,16.432,1102.82,0.0143,80.45,939.0,5625.0,0.906,0.96,0.0195,213.283,12.516,12.2489
CoRoT-21 b,CoRoT-21,Transit,2012,2.72474,0.0417,14.5717,718.2958,0.0,80.45,939.0,6200.0,1.95,1.29,0.0,501.574,16.058,15.8558
CoRoT-22 b,CoRoT-22,Transit,2014,9.75598,0.092,4.88,12.2,0.077,80.45,885.0,5939.0,1.136,1.099,0.17,627.158,13.82,13.7305
CoRoT-23 b,CoRoT-23,Transit,2011,3.6313,0.048,11.77,889.9,0.16,80.45,1660.0,5900.0,1.61,1.14,0.05,1060.97,15.675,15.0681
CoRoT-24 b,CoRoT-24,Transit,2014,5.1134,0.056,3.7,5.7,0.0,80.45,1070.0,4950.0,0.86,0.91,0.3,591.555,15.383,15.1801
CoRoT-24 c,CoRoT-24,Transit,2014,11.759,0.098,5.0,28.0,0.0,80.45,850.0,4950.0,0.86,0.91,0.3,591.555,15.383,15.1801
CoRoT-25 b,CoRoT-25,Transit,2013,4.86069,0.0578,12.11,85.81,0.0,80.45,1330.0,6040.0,1.19,1.09,-0.01,1103.48,14.79,14.711
CoRoT-26 b,CoRoT-26,Transit,2013,4.20474,0.0526,14.12,165.26,0.0,80.45,1600.0,5590.0,1.79,1.09,0.01,1045.18,15.861,15.4682
CoRoT-27 b,CoRoT-27,Transit,2014,3.57532,0.0476,11.287,3302.11,0.065,80.45,1500.0,5900.0,1.08,1.05,-0.1,1010.28,15.774,15.3902
CoRoT-28 b,CoRoT-28,Transit,2015,5.20851,0.0603,10.704595,153.82972,0.047,80.45,939.0,5150.0,1.78,1.01,0.15,766.183,13.783,13.4119
CoRoT-29 b,CoRoT-29,Transit,2015,2.85057,0.0386,10.0881,270.1555,0.082,80.45,939.0,5260.0,0.9,0.97,0.2,806.507,15.408,15.2394
CoRoT-3 b,CoRoT-3,Transit,2008,4.2568,0.0688,11.32,6883.91,0.0,80.45,939.0,6740.0,1.56,1.37,0.0195,768.771,13.448,13.2188
CoRoT-30 b,CoRoT-30,Transit,2020,9.06005,0.0844,11.309881,921.707,0.007,80.45,939.0,5650.0,0.91,0.98,0.02,1032.23,15.571,15.413
CoRoT-31 b,CoRoT-31,Transit,2020,4.62941,0.0586,16.36514,266.9772,0.02,80.45,939.0,5700.0,2.15,1.25,0.0,2005.76,15.479,15.4655
CoRoT-32 b,CoRoT-32,Transit,2018,6.71837,0.071,6.38913,47.6745,0.0331,132.26,938.0,5970.0,0.79,1.08,0.0,576.683,13.626,13.5867
CoRoT-35 b,CoRoT-35,Transit,2022,3.22748,0.0429,18.83108758,349.6112477,0.0,80.45,1747.0,6390.0,1.65,1.01,-0.5,1123.21,15.635,15.2625
CoRoT-36 b,CoRoT-36,Transit,2022,5.616531,0.066,15.80466279,216.12331676,0.0,80.45,1567.0,6730.0,1.52,1.32,-0.1,925.958,13.126,12.9515
CoRoT-4 b,CoRoT-4,Transit,2008,9.20205,0.09,13.34,228.83,0.0,80.45,1074.0,6190.0,1.17,1.16,0.0195,726.412,13.652,13.5613
CoRoT-5 b,CoRoT-5,Transit,2009,4.0378962,0.04947,15.558,148.42,0.09,80.45,1438.0,6100.0,1.186,1.0,-0.25,882.472,14.043,13.9021
CoRoT-6 b,CoRoT-6,Transit,2009,8.886593,0.0855,13.068,940.74,0.1,80.45,1017.0,6090.0,1.025,1.05,-0.2,645.294,13.961,13.7459
CoRoT-7 b,CoRoT-7,Transit,2009,0.85359163,0.0688,1.68135,4.07660518,0.0,80.45,939.0,5275.0,0.83,0.82,0.05,159.906,11.728,11.5239
CoRoT-8 b,CoRoT-8,Transit,2010,6.21229,0.063,6.39,69.92,0.0,80.45,939.0,5080.0,0.77,0.88,0.3,322.037,14.792,14.2195
CoRoT-9 b,CoRoT-9,Transit,2009,95.272656,0.4021,11.948794,266.9772,0.133,80.45,420.0,5625.0,0.96,0.96,-0.01,412.98,13.637,13.5008
DS Tuc A b,DS Tuc A,Transit,2019,8.138268,0.0688,5.7,87.351625,0.0,80.45,850.0,5428.0,0.964,1.01,0.0,44.0622,8.17,8.31926
EPIC 201170410.02,EPIC 201170410,Transit,2020,6.7987,0.0349,1.047,87.351625,0.0,80.45,939.0,3648.0,0.282,0.287,-0.048,501.574,17.6984,16.4386
EPIC 201238110 b,EPIC 201238110,Transit,2019,28.1656,0.0688,1.87,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.41,0.0195,159.259,16.014,15.2612
EPIC 201427007 b,EPIC 201427007,Transit,2021,0.72091,0.0688,1.5,87.351625,0.0331,80.45,939.0,5633.0,0.94,0.95,-0.053,706.391,14.321,14.147
EPIC 201497682 b,EPIC 201497682,Transit,2019,2.13174,0.0688,0.692,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.78,0.0195,253.026,13.948,13.7368
EPIC 201595106 b,EPIC 201595106,Transit,2021,0.87724,0.0177,1.565,7.67,0.0,2852.0,2038.0,5679.0,0.98,0.958,0.01,232.1,11.746,11.6477
EPIC 201615463 c,K2-166,Transit,2019,3.80464,0.0688,1.22,87.351625,0.0331,80.45,939.0,5596.0,0.9335,1.073,0.0195,476.882,12.081,11.9456
EPIC 201754305 d,K2-16,Transit,2019,2.71578,0.0688,1.03,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.67,0.0195,334.967,14.668,14.3234
EPIC 201757695.02,EPIC 201757695,Transit,2020,2.0478,0.0296,0.90819,87.351625,0.0,80.45,939.0,4520.0,0.655,0.727,-0.003,501.574,14.974,13.7756
EPIC 201833600 c,K2-50,Transit,2019,3.96151,0.0688,1.0,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.611,0.0195,257.443,14.705,14.2575
EPIC 201841433 b,EPIC 201841433,Transit,2019,4.1698,0.035,1.04,87.351625,0.0331,80.45,939.0,5053.0,0.628461,0.802,0.0,436.488,14.983,14.5885
EPIC 205950854 c,K2-168,Transit,2019,8.050722,0.0688,1.31,87.351625,0.0331,80.45,960.6,5502.7,0.83,0.877,0.0195,243.935,12.365,12.0976
EPIC 206024342 b,EPIC 206024342,Transit,2019,4.50756,0.0688,1.7,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.928,0.0195,369.888,13.096,12.9682
EPIC 206024342 c,EPIC 206024342,Transit,2021,0.911724,0.0688,1.4,87.351625,0.0331,80.45,939.0,5724.0,1.1,0.95,-0.22,369.888,13.096,12.9682
EPIC 206024342 d,EPIC 206024342,Transit,2021,14.647531,0.0688,2.6,87.351625,0.0331,80.45,939.0,5724.0,1.1,0.95,-0.22,369.888,13.096,12.9682
EPIC 206032309 b,EPIC 206032309,Transit,2019,2.87814,0.0688,1.01,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.221,0.0195,161.365,17.89,16.0689
EPIC 206042996 b,EPIC 206042996,Transit,2019,5.2986,0.0688,1.7,87.351625,0.0331,80.45,939.0,4114.0,0.5,0.95,0.006,451.769,16.59,15.9752
EPIC 206042996 c,EPIC 206042996,Transit,2021,0.354884,0.0688,1.2,87.351625,0.0331,80.45,939.0,4114.0,0.5,0.95,0.006,451.769,16.59,15.9752
EPIC 206215704 b,EPIC 206215704,Transit,2019,2.255436,0.0688,1.0,87.351625,0.0331,80.45,939.0,3297.0,0.25,0.95,-0.33,109.888,17.83,16.1722
EPIC 206317286 b,EPIC 206317286,Transit,2019,1.58252,0.0688,0.96,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.711,0.0195,314.35,14.005,13.774
EPIC 206317286 c,EPIC 206317286,Transit,2022,17.515472,0.0688,2.094,87.351625,0.0331,80.45,939.0,4752.0,0.758,0.832,0.019,314.35,14.005,13.774
EPIC 211822797 b,EPIC 211822797,Transit,2016,21.1701963,0.1195,1.92,87.351625,0.0331,80.45,431.0,4057.0,0.58,0.62,0.2,186.197,15.133,14.5263
EPIC 211945201 b,EPIC 211945201,Transit,2018,19.49221,0.1493,5.76,87.351625,0.0331,80.45,817.0,6069.0,1.39,1.17,0.1,181.69,10.154,10.0512
EPIC 212297394 b,EPIC 212297394,Transit,2019,2.289363,0.0688,1.48,87.351625,0.0331,80.45,1149.0,5171.0,0.8,0.83,-0.03,418.395,14.611,14.1864
EPIC 212297394 c,EPIC 212297394,Transit,2021,5.213965,0.0688,2.27,87.351625,0.0331,80.45,866.0,5171.0,0.8,0.83,-0.03,418.395,14.611,14.1864
EPIC 212424622 b,EPIC 212424622,Transit,2019,18.0983,0.0688,2.17,87.351625,0.0331,80.45,939.0,5596.0,0.9335,1.106,0.0195,611.804,13.441,13.2026
EPIC 212499991 b,EPIC 212499991,Transit,2019,34.885,0.0688,1.6,87.351625,0.0331,80.45,939.0,5596.0,0.9335,0.912,0.0195,283.29,13.672,13.3118
EPIC 212587672 b,EPIC 212587672,Transit,2019,15.28078,0.0688,1.26,87.351625,0.0331,80.45,756.0,6004.0,0.98,0.99,-0.18,320.07,12.488,12.2038
EPIC 212587672 c,EPIC 212587672,Transit,2021,23.228555,0.0688,2.32,87.351625,0.0331,80.45,658.0,6004.0,0.98,0.99,-0.18,320.07,12.488,12.2038
EPIC 212624936 b,EPIC 212624936,Transit,2021,0.578657,0.0688,1.2,87.351625,0.0331,80.45,939.0,5765.0,0.93,0.95,-0.39,561.929,13.976,13.8326
EPIC 212624936 c,EPIC 212624936,Transit,2021,11.811437,0.0688,2.3,87.351625,0.0331,80.45,939.0,5765.0,0.93,0.95,-0.39,561.929,13.976,13.8326
EPIC 212737443 b,EPIC 212737443,Transit,2019,13.603,0.098,2.586,87.351625,0.2,80.45,536.0,4684.0,0.673,0.69,-0.137,336.25,14.81,14.4776
EPIC 212737443 c,EPIC 212737443,Transit,2019,65.55,0.28,2.69,87.351625,0.2,80.45,316.0,4684.0,0.673,0.69,-0.137,336.25,14.81,14.4776
EPIC 220492298 b,EPIC 220492298,Transit,2021,0.762406,0.0688,0.99,87.351625,0.0331,80.45,939.0,5620.0,0.89,0.95,0.28,624.512,13.991,13.7756
EPIC 220554210 c,K2-282,Transit,2019,0.70531,0.0688,1.6,87.351625,0.0331,80.45,939.0,5499.0,1.0,0.95,-0.23,496.289,14.21,13.8183
EPIC 220674823 b,EPIC 220674823,Transit,2016,0.5713127,0.01314,1.676,7.8,0.0,4656.0,2299.0,5578.0,0.99,0.913,-0.005,244.59,12.101,11.9535
EPIC 220674823 c,EPIC 220674823,Transit,2016,13.33989,0.1073,2.84,7.32,0.17,70.0,804.0,5578.0,0.99,0.913,-0.005,244.59,12.101,11.9535
EPIC 228836835 b,EPIC 228836835,Transit,2021,0.728113,0.0688,1.1,87.351625,0.0331,80.45,939.0,3782.0,0.32,0.95,-0.18,150.124,16.77,15.4185
EPIC 229004835 b,EPIC 229004835,Transit,2023,16.141132,0.1237,2.332,10.4,0.23,69.7,804.0,5868.0,0.999,0.97,-0.12,121.971,10.23,10.0494
EPIC 246851721 b,EPIC 246851721,Transit,2018,6.180235,0.07229,11.780659,953.49,0.0331,642.0,1401.0,6202.0,1.586,1.317,0.141,372.632,11.237,11.2549
EPIC 248847494 b,EPIC 248847494,Transit,2018,3650.0,4.5,12.44199,4131.79,0.0,0.19,183.0,4898.0,2.7,0.9,-0.23,551.886,12.353,12.1722
EPIC 249893012 b,EPIC 249893012,Transit,2020,3.5951,0.047,1.95,8.75,0.06,1037.0,1616.0,5430.0,1.71,1.05,0.2,321.296,11.429,11.4019
EPIC 249893012 c,EPIC 249893012,Transit,2020,15.624,0.13,3.67,14.67,0.07,160.0,990.0,5430.0,1.71,1.05,0.2,321.296,11.429,11.4019
EPIC 249893012 d,EPIC 249893012,Transit,2020,35.747,0.22,3.94,10.18,0.15,53.0,752.0,5430.0,1.71,1.05,0.2,321.296,11.429,11.4019
G 9-40 b,G 9-40,Transit,2019,5.7459982,0.0418,1.9,4.0,0.0,6.27,440.6,3395.0,0.3026,0.2952,-0.07,27.9276,13.821,12.7331
GJ 1132 b,GJ 1132,Transit,2015,1.62892911,0.0157,1.19151465,1.83704819,0.0118,19.3,583.8,3229.0,0.2211,0.1945,-0.17,12.613,13.68,12.138
GJ 1214 b,GJ 1214,Transit,2009,1.580404531,0.01505,2.733,8.41,0.0062,17.2,567.0,3101.0,0.2162,0.182,0.24,14.6427,15.1,13.0089
GJ 1252 b,GJ 1252,Transit,2020,0.5182331,0.0688,1.193,1.32,0.0,80.45,939.0,3458.0,0.391,0.381,0.1,20.373,12.68,11.2364
GJ 143 b,GJ 143,Transit,2019,35.61253,0.1915,2.61,22.7,0.188,80.45,422.0,4640.0,0.695,0.73,0.003,16.32,8.08,7.67906
GJ 238 b,GJ 238,Transit,2024,1.7446999,0.02123,0.566,87.351625,0.0331,80.45,758.0,3485.0,0.4314,0.4193,0.15,15.2142,11.62,10.5294
GJ 3090 b,GJ 3090,Transit,2022,2.85310198,0.0316,2.18,4.52,0.25,45.4,723.0,3707.0,0.516,0.519,0.12,22.4751,11.403,10.5521
GJ 341 b,GJ 341,Transit,2025,7.57686,0.0688,0.88,4.0,0.0,13.8,939.0,3770.0,0.5066,0.48,-0.16,10.454,9.49,8.67538
GJ 3473 b,GJ 3473,Transit,2020,1.1980035,0.01589,1.264,1.86,0.0,59.4,773.0,3347.0,0.364,0.36,0.11,27.3644,13.74,12.465
GJ 357 b,GJ 357,Transit,2019,3.9306,0.036,1.2,87.351625,0.0331,80.45,518.0,3505.0,0.337,0.342,-0.12,9.44181,10.91,9.88036
GJ 367 b,GJ 367,Transit,2021,0.3219225,0.00709,0.699,0.633,0.06,579.0,1365.0,3522.0,0.458,0.455,-0.01,9.41263,10.153,9.15159
GJ 3929 b,GJ 3929,Transit,2022,2.616235,0.0252,1.09,1.75,0.0,17.3,568.0,3384.0,0.32,0.313,-0.02,15.8095,12.675,11.5109
GJ 806 b,GJ 806,Transit,2023,0.9263237,0.01406,1.331,1.9,0.0331,130.0,940.0,3600.0,0.4144,0.413,-0.28,12.0445,10.79,9.82461
GJ 9827 b,GJ 9827,Transit,2017,1.208974,0.0189,1.44,4.28,0.0331,80.45,1035.01,4236.0,0.58,0.62,-0.29,29.661,10.37,9.83773
GJ 9827 c,GJ 9827,Transit,2017,3.648103,0.0395,1.13,1.86,0.0331,80.45,715.94,4236.0,0.58,0.62,-0.29,29.661,10.37,9.83773
GJ 9827 d,GJ 9827,Transit,2017,6.20183,0.053,1.98,3.02,0.0331,34.9,675.0,4236.0,0.58,0.62,-0.29,29.661,10.37,9.83773
GPX-1 b,GPX-1,Transit,2021,1.744579,0.0338,16.47720163,6261.2196179,0.0,4650.0,2300.0,7000.0,1.56,1.68,0.35,655.013,12.316,12.2228
Gaia-1 b,Gaia-1,Transit,2022,3.052524,0.04047,13.77583728,533.95172376,0.0331,80.45,939.0,5470.0,0.952,0.949,0.0195,363.66,13.242,12.9988
Gaia-2 b,Gaia-2,Transit,2022,3.6915224,0.0467,14.81827249,259.66580852,0.0331,80.45,939.0,5720.0,1.064,1.0,0.0195,209.229,11.277,11.1968
Gliese 12 b,Gliese 12,Transit,2024,12.761408,0.0668,0.958,3.87,0.5,1.62,314.6,3296.0,0.2617,0.2414,-0.32,12.21,12.6,11.3963
HAT-P-1 b,HAT-P-1,Transit,2006,4.46529976,0.05561,14.784671,166.86075,0.0331,80.45,1322.0,5980.0,1.174,1.151,0.13,158.979,9.827,10.1786
HAT-P-12 b,HAT-P-12,Transit,2009,3.2130598,0.0384,10.749,67.059,0.0,80.45,963.0,4650.0,0.701,0.733,-0.29,142.751,12.665,12.4197
HAT-P-13 b,HAT-P-13,Transit,2009,2.91625,0.0688,14.258,270.462,0.0133,80.45,939.0,5596.0,0.9335,0.95,0.0195,246.81,10.421,10.4168
HAT-P-14 b,HAT-P-14,Transit,2010,4.62767,0.0688,15.91678,1093.3352,0.11,80.45,939.0,6600.0,1.82,2.65,0.11,222.663,9.988,9.87283
HAT-P-15 b,HAT-P-15,Transit,2010,10.8635,0.0688,11.88154,616.5902,0.19,80.45,939.0,5568.0,1.07,1.0,0.22,192.516,12.41,11.7232
HAT-P-17 b,HAT-P-17,Transit,2010,10.33852,0.0688,11.76945,184.3414,0.35,80.45,939.0,5246.0,0.87,0.99,0.0,92.3831,10.375,10.2743
HAT-P-18 b,HAT-P-18,Transit,2010,5.508023,0.0559,11.153,62.61,0.084,80.45,852.0,4803.0,0.749,0.77,0.1,161.4,12.597,12.3682
HAT-P-19 b,HAT-P-19,Transit,2010,4.00878322,0.04599,11.29865255,88.03846874,0.0331,154.0,981.2,4962.0,0.773,0.807,0.166,202.078,12.826,12.5567
HAT-P-20 b,HAT-P-20,Transit,2010,2.875317,0.0361,9.718,2302.899,0.015,80.45,970.0,4595.0,0.694,0.756,0.35,71.0374,11.231,10.9903
HAT-P-21 b,HAT-P-21,Transit,2010,4.12448,0.0688,12.44199,1547.8321,0.23,80.45,939.0,5588.0,1.21,1.24,0.01,277.278,11.459,11.5583
HAT-P-22 b,HAT-P-22,Transit,2010,3.21222,0.0688,12.89035,785.0401,0.02,80.45,939.0,5302.0,1.11,1.13,0.24,81.7647,9.763,9.51936
HAT-P-23 b,HAT-P-23,Transit,2010,1.212884,0.0232,15.334,664.237,0.106,80.45,2056.0,5905.0,1.203,1.13,0.15,364.813,11.937,12.1741
HAT-P-24 b,HAT-P-24,Transit,2010,3.35524,0.0688,14.5717,238.3725,0.07,80.45,939.0,6373.0,1.38,1.37,-0.16,415.344,11.762,11.6396
HAT-P-25 b,HAT-P-25,Transit,2010,3.65281514,0.0466,12.722215,180.84527,0.023,325.0,1182.0,5519.0,0.919,1.012,0.294,300.384,13.146,12.8416
HAT-P-26 b,HAT-P-26,Transit,2010,4.23452,0.0688,7.06167,22.2481,0.12,80.45,939.0,5079.0,0.87,1.12,-0.04,141.837,11.757,11.4641
HAT-P-27 b,HAT-P-27,Transit,2011,3.039577,0.04,11.43,197.05,0.0,80.45,939.0,5316.0,0.864673,0.916,0.3,199.173,12.052,11.9562
HAT-P-28 b,HAT-P-28,Transit,2011,3.257215,0.0434,13.585,198.953,0.051,80.45,1384.0,5680.0,1.103,1.025,0.12,401.319,13.098,12.8718
HAT-P-29 b,HAT-P-29,Transit,2011,5.72319,0.0688,13.11453,279.6904,0.09,80.45,939.0,6087.0,1.3,1.45,0.21,313.576,11.825,11.7336
HAT-P-3 b,HAT-P-3,Transit,2007,2.8997,0.0688,10.53646,206.5895,0.0,80.45,939.0,5185.0,0.87,1.06,0.27,134.554,11.856,11.2795
HAT-P-30 b,HAT-P-30,Transit,2011,2.8106,0.0688,16.14096,263.7989,0.04,80.45,939.0,6304.0,1.31,1.55,0.13,213.985,10.352,10.2998
HAT-P-31 b,HAT-P-31,Transit,2011,5.00542,0.0688,12.21781,721.4741,0.25,80.45,939.0,6065.0,1.39,1.31,0.15,344.05,11.667,11.4501
HAT-P-32 b,HAT-P-32,Transit,2011,2.1500082,0.03397,22.19382,216.1244,0.159,1841.0,1835.7,6001.0,1.367,1.132,-0.16,289.205,11.439,11.1335
HAT-P-33 b,HAT-P-33,Transit,2011,3.47447,0.0688,20.73665,292.4036,0.0,80.45,939.0,6446.0,1.79,1.82,0.05,396.11,11.032,11.0238
HAT-P-34 b,HAT-P-34,Transit,2011,5.452654,0.06774,13.417173,1058.3739,0.432,80.45,939.0,6442.0,1.53,1.392,0.22,249.325,10.403,10.1944
HAT-P-35 b,HAT-P-35,Transit,2011,3.646706,0.04978,14.930388,335.62848,0.02,80.45,939.0,6096.0,1.435,1.236,0.11,506.965,12.389,12.2802
HAT-P-36 b,HAT-P-36,Transit,2011,1.32734683,0.0241,14.313893,587.413406,0.0331,80.45,1780.97,5620.0,1.041,1.03,0.0195,294.419,12.146,12.093
HAT-P-37 b,HAT-P-37,Transit,2011,2.797436,0.0379,13.204,371.528,0.058,80.45,1271.0,5500.0,0.877,0.929,0.03,390.594,13.427,13.2615
HAT-P-38 b,HAT-P-38,Transit,2012,4.640382,0.0523,9.247,84.857,0.067,80.45,1082.0,5330.0,0.923,0.886,0.06,255.206,12.525,12.3021
HAT-P-39 b,HAT-P-39,Transit,2012,3.54387,0.0509,17.609,190.372,0.0,80.45,1752.0,6430.0,1.625,1.404,0.19,697.004,12.282,12.2269
HAT-P-4 b,HAT-P-4,Transit,2007,3.056536,0.04438,14.28,213.255,0.0,80.45,1686.0,5860.0,1.596,1.248,0.0195,320.451,11.118,11.0634
HAT-P-40 b,HAT-P-40,Transit,2012,4.45724,0.0688,17.03768,152.5584,0.0,80.45,939.0,6080.0,1.94,1.03,0.22,464.469,11.34,11.4162
HAT-P-41 b,HAT-P-41,Transit,2012,2.69405,0.0688,22.97845,378.2177,0.0,80.45,939.0,6390.0,2.05,2.56,0.21,348.185,11.365,10.939
HAT-P-42 b,HAT-P-42,Transit,2012,4.641878,0.0575,14.348,331.801,0.0,80.45,1428.0,5743.0,1.53,1.178,0.27,405.238,12.125,12.0031
HAT-P-43 b,HAT-P-43,Transit,2012,3.3326414,0.0444,13.63,87.351625,0.0331,80.45,1353.0,5693.0,1.08,1.03,0.2,528.825,13.279,13.2165
HAT-P-44 b,HAT-P-44,Transit,2014,4.301219,0.0507,13.922,111.871,0.044,80.45,1108.0,5295.0,0.949,0.942,0.33,347.85,13.225,12.9729
HAT-P-45 b,HAT-P-45,Transit,2014,3.128992,0.0452,15.984,283.492,0.049,80.45,1652.0,6330.0,1.319,1.259,0.07,298.64,12.783,12.3977
HAT-P-46 b,HAT-P-46,Transit,2014,4.463129,0.0577,14.392,156.684,0.123,80.45,1458.0,6120.0,1.396,1.284,0.3,290.736,11.997,11.6843
HAT-P-49 b,HAT-P-49,Transit,2014,2.69155,0.0688,17.82231,699.226,0.0,80.45,939.0,6820.0,2.06,2.22,0.07,350.351,10.205,10.2071
HAT-P-5 b,HAT-P-5,Transit,2007,2.78849,0.0688,13.56289,311.4734,0.0,80.45,939.0,5960.0,1.12,1.04,0.24,303.336,11.954,11.8224
HAT-P-50 b,HAT-P-50,Transit,2015,3.1220109,0.0453,14.437192,429.0705,0.115,80.45,1862.0,6280.0,1.698,1.273,-0.18,515.458,11.703,11.6722
HAT-P-51 b,HAT-P-51,Transit,2015,4.21802091,0.05042,13.50682174,97.57332095,0.0331,310.0,1168.2,5453.0,0.995,0.961,0.302,440.089,13.51,13.2846
HAT-P-52 b,HAT-P-52,Transit,2015,2.7535953,0.03694,11.309881,259.98494,0.047,80.45,1218.0,5131.0,0.893,0.887,0.28,361.155,14.107,13.787
HAT-P-53 b,HAT-P-53,Transit,2015,1.9616241,0.03159,14.773462,471.65972,0.134,80.45,1778.0,5956.0,1.209,1.093,0.0,666.802,13.78,13.5142
HAT-P-54 b,HAT-P-54,Transit,2015,3.799847,0.04117,10.581296,241.5508,0.074,80.45,818.0,4390.0,0.617,0.645,-0.127,143.651,13.398,13.0172
HAT-P-55 b,HAT-P-55,Transit,2015,3.5852313,0.04628,14.84069045,189.42573057,0.0331,583.0,1367.0,5804.0,1.105,1.028,0.003,511.388,13.197,13.0955
HAT-P-56 b,HAT-P-56,Transit,2015,2.79083,0.0688,16.92559,734.1873,0.0331,80.45,939.0,6566.0,1.47,1.42,0.0,320.639,10.92,10.8245
HAT-P-57 b,HAT-P-57,Transit,2015,2.4653,0.0688,19.50366,448.1403,0.0,80.45,939.0,6330.0,1.85,2.77,-0.25,279.86,10.639,10.4253
HAT-P-58 b,HAT-P-58,Transit,2021,4.0138379,0.04994,14.93036229,118.2321674,0.073,1146.0,1622.0,6078.0,1.53,1.031,-0.224,515.59,12.925,12.7202
HAT-P-59 b,HAT-P-59,Transit,2021,4.1419771,0.05064,12.58768533,489.45574678,0.03,441.4,1277.8,5678.0,1.1038,1.008,0.217,265.471,11.64,11.6787
HAT-P-6 b,HAT-P-6,Transit,2007,3.85298,0.0688,16.58932,419.5356,0.0,80.45,939.0,6570.0,1.62,1.79,-0.13,275.358,10.469,10.3056
HAT-P-60 b,HAT-P-60,Transit,2021,4.7947813,0.06277,18.28184752,182.43350562,0.25,1634.0,1772.0,6212.0,2.197,1.435,0.037,233.22,9.727,9.56355
HAT-P-61 b,HAT-P-61,Transit,2021,1.90231289,0.0301,10.07687365,335.9446262,0.113,849.5,1505.0,5587.0,0.938,1.004,0.194,338.84,13.096,12.9386
HAT-P-62 b,HAT-P-62,Transit,2021,2.6453235,0.03772,12.02723629,241.86741773,0.101,867.2,1512.0,5629.0,1.17,1.023,0.414,348.815,12.539,12.4362
HAT-P-63 b,HAT-P-63,Transit,2021,3.377728,0.04294,12.5428494,195.1466419,0.069,387.4,1237.0,5400.0,0.9661,0.925,0.251,403.458,13.657,13.5106
HAT-P-64 b,HAT-P-64,Transit,2021,4.007232,0.05387,19.08889413,184.34047606,0.101,1611.0,1766.0,6457.0,1.735,1.298,-0.113,651.897,12.855,12.6221
HAT-P-65 b,HAT-P-65,Transit,2016,2.60544751,0.04042,18.05766791,176.07693748,0.0331,1821.0,1818.0,5872.0,1.666,1.297,0.208,738.519,13.121,12.9952
HAT-P-66 b,HAT-P-66,Transit,2016,2.972086,0.04363,17.82231,248.86089,0.09,80.45,1896.0,6002.0,1.881,1.255,0.035,935.456,13.014,12.8922
