pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
Kepler-427 b,Kepler-427,Transit,2014,10.290994,0.091,13.79,92.17,0.57,80.45,1100.0,5800.0,1.35,0.96,-0.19,1017.8,14.301,14.1964
Kepler-428 b,Kepler-428,Transit,2014,3.52563254,0.0433,12.11,403.63,0.22,80.45,1070.0,5150.0,0.8,0.87,0.09,686.284,15.362,15.2218
Kepler-43 b,Kepler-43,Transit,2011,3.0240949,0.046,13.663771,1026.5909,0.0331,80.45,1620.0,6041.0,1.42,1.32,0.33,1005.84,13.986,13.8894
Kepler-430 b,Kepler-430,Transit,2015,35.968,0.2244,3.25,87.351625,0.0331,80.45,667.0,5884.0,1.485,1.166,0.2,917.477,13.908,13.8135
Kepler-430 c,Kepler-430,Transit,2015,110.979,0.4757,1.75,87.351625,0.0331,80.45,458.0,5884.0,1.485,1.166,0.2,917.477,13.908,13.8135
Kepler-431 b,Kepler-431,Transit,2015,6.803,0.0719,0.764,87.351625,0.0331,80.45,1032.0,6004.0,1.092,1.071,0.07,486.546,12.139,11.9291
Kepler-431 c,Kepler-431,Transit,2015,8.703,0.0847,0.668,87.351625,0.0331,80.45,951.0,6004.0,1.092,1.071,0.07,486.546,12.139,11.9291
Kepler-431 d,Kepler-431,Transit,2015,11.922,0.1045,1.11,87.351625,0.0331,80.45,856.0,6004.0,1.092,1.071,0.07,486.546,12.139,11.9291
Kepler-432 b,Kepler-432,Transit,2015,52.501129,0.301,12.834305,1719.4603,0.5134,80.45,939.0,4995.0,4.06,1.32,-0.07,848.023,12.398,12.1822
Kepler-433 b,Kepler-433,Transit,2015,5.33408384,0.0679,16.25,896.24,0.119,80.45,1776.0,6360.0,2.26,1.46,-0.01,1878.31,14.717,14.4163
Kepler-434 b,Kepler-434,Transit,2015,12.8747099,0.1143,12.67,908.96,0.131,80.45,1000.0,5977.0,1.38,1.198,0.25,1222.54,14.49,14.4999
Kepler-435 b,Kepler-435,Transit,2015,8.6001536,0.0948,22.31,266.97,0.114,80.45,1729.0,6161.0,3.21,1.538,-0.18,1418.77,13.704,13.604
Kepler-436 b,Kepler-436,Transit,2015,64.00205,0.339,2.73,87.351625,0.19,1.69,939.0,4651.0,0.697,0.729,0.01,588.867,15.971,15.8616
Kepler-436 c,Kepler-436,Transit,2016,16.79713874,0.0688,2.33,87.351625,0.0331,80.45,939.0,4685.0,0.71,0.75,0.02,588.867,15.971,15.8616
Kepler-437 b,Kepler-437,Transit,2015,66.65062,0.288,2.14,87.351625,0.02,2.15,939.0,4551.0,0.68,0.707,0.0,501.574,14.628,14.3622
Kepler-438 b,Kepler-438,Transit,2015,35.23319,0.166,1.12,87.351625,0.03,1.4,939.0,3748.0,0.52,0.544,0.16,501.574,15.104,14.4852
Kepler-439 b,Kepler-439,Transit,2015,178.1396,0.563,2.24,87.351625,0.03,1.83,939.0,5431.0,0.866,0.884,0.02,757.048,14.654,14.5454
Kepler-44 b,Kepler-44,Transit,2011,3.2467293,0.0446,12.22,317.82,0.066,80.45,1544.0,5800.0,1.35,1.12,0.15,1188.0,14.803,14.6901
Kepler-440 b,Kepler-440,Transit,2015,101.11141,0.242,1.86,87.351625,0.34,1.2,939.0,4134.0,0.559,0.575,-0.3,301.03,15.637,15.1058
Kepler-441 b,Kepler-441,Transit,2015,207.2482,0.64,1.64,87.351625,0.1,0.21,939.0,4340.0,0.55,0.572,-0.57,268.003,15.567,15.135
Kepler-442 b,Kepler-442,Transit,2015,112.3053,0.409,1.34,87.351625,0.04,0.66,939.0,4402.0,0.598,0.609,-0.37,365.965,15.322,14.9304
Kepler-443 b,Kepler-443,Transit,2015,177.6693,0.495,2.33,87.351625,0.11,0.86,939.0,4723.0,0.706,0.738,-0.01,802.271,16.207,15.9005
Kepler-444 b,Kepler-444,Transit,2015,3.6001053,0.04178,0.403,87.351625,0.16,80.45,939.0,5046.0,0.752,0.758,-0.55,36.4396,8.87,8.643251
Kepler-444 c,Kepler-444,Transit,2015,4.5458841,0.04881,0.497,87.351625,0.31,80.45,939.0,5046.0,0.752,0.758,-0.55,36.4396,8.87,8.643251
Kepler-444 d,Kepler-444,Transit,2015,6.189392,0.06,0.53,87.351625,0.18,80.45,939.0,5046.0,0.752,0.758,-0.55,36.4396,8.87,8.643251
Kepler-444 e,Kepler-444,Transit,2015,7.743493,0.0696,0.546,87.351625,0.1,80.45,939.0,5046.0,0.752,0.758,-0.55,36.4396,8.87,8.643251
Kepler-444 f,Kepler-444,Transit,2015,9.740486,0.0811,0.741,87.351625,0.29,80.45,939.0,5046.0,0.752,0.758,-0.55,36.4396,8.87,8.643251
Kepler-445 b,Kepler-445,Transit,2015,2.984151,0.0688,1.58,87.351625,0.0,80.45,939.0,3157.0,0.21,0.18,0.27,127.201,18.19,16.7157
Kepler-445 c,Kepler-445,Transit,2015,4.871229,0.0688,2.51,87.351625,0.0,80.45,939.0,3157.0,0.21,0.18,0.27,127.201,18.19,16.7157
Kepler-445 d,Kepler-445,Transit,2015,8.15275,0.0688,1.25,87.351625,0.0,80.45,939.0,3157.0,0.21,0.18,0.27,127.201,18.19,16.7157
Kepler-446 b,Kepler-446,Transit,2015,1.565409,0.0688,1.5,87.351625,0.0,80.45,939.0,3359.0,0.24,0.22,-0.3,96.339,17.5041,16.3101
Kepler-446 c,Kepler-446,Transit,2015,3.036179,0.0688,1.11,87.351625,0.0,80.45,939.0,3359.0,0.24,0.22,-0.3,96.339,17.5041,16.3101
Kepler-446 d,Kepler-446,Transit,2015,5.148921,0.0688,1.35,87.351625,0.0,80.45,939.0,3359.0,0.24,0.22,-0.3,96.339,17.5041,16.3101
Kepler-447 b,Kepler-447,Transit,2015,7.79430132,0.0769,18.49,435.41,0.123,80.45,939.0,5493.0,1.05,1.0,0.07,268.041,12.52,12.3795
Kepler-449 b,Kepler-449,Transit,2015,12.58242,0.0688,2.056,87.351625,0.03,80.45,939.0,5649.18,0.9335,0.95,-0.1651,241.949,11.448,11.2263
Kepler-449 c,Kepler-449,Transit,2015,33.6727,0.0688,2.764,87.351625,0.05,80.45,939.0,5649.18,0.9335,0.95,-0.1651,241.949,11.448,11.2263
Kepler-45 b,Kepler-45,Transit,2011,2.455239,0.03,10.76,160.497,0.11,80.45,1000.0,3820.0,0.55,0.59,0.28,381.949,16.744,15.9804
Kepler-450 b,Kepler-450,Transit,2015,28.454851,0.0688,6.14,87.351625,0.02,80.45,939.0,6197.21,1.64162,1.19,0.1278,455.982,11.991,11.6525
Kepler-450 c,Kepler-450,Transit,2015,15.413135,0.0688,2.62,87.351625,0.02,80.45,939.0,6197.21,1.64162,1.19,0.1278,455.982,11.991,11.6525
Kepler-450 d,Kepler-450,Transit,2015,7.51464,0.0688,0.837,87.351625,0.14,80.45,939.0,6197.21,1.64162,1.19,0.1278,455.982,11.991,11.6525
Kepler-452 b,Kepler-452,Transit,2015,384.843,1.046,1.63,87.351625,0.0331,1.1,265.0,5757.0,1.11,1.037,0.21,551.727,13.54,13.4048
Kepler-453 b,Kepler-453,Transit,2015,240.503,0.7903,6.204,16.0,0.0359,80.45,939.0,5527.0,0.833,0.944,0.09,442.846,13.672,13.5227
Kepler-454 b,Kepler-454,Transit,2015,10.5737534,0.09528,2.37,5.4,0.32,117.7,916.0,5687.0,1.066,1.03,0.32,230.869,11.567,11.4395
Kepler-457 d,KOI-7892,Transit,2021,10.6906004,0.0688,2.98467257,87.351625,0.0331,80.45,939.0,6474.0,1.242,1.148,-0.16,1072.3,14.411,14.2165
Kepler-458 c,KIC 9663113,Transit,2016,20.74028413,0.0688,4.2,87.351625,0.0331,80.45,939.0,6117.21,2.21562,1.15,0.1436,1594.74,14.027,13.9075
Kepler-46 b,Kepler-46,Transit,2012,33.60134,0.1968,9.057,1907.0,0.01,80.45,543.0,5155.0,0.938,0.902,0.41,777.06,15.312,15.2548
Kepler-46 d,Kepler-46,Transit,2014,6.766589,0.067,1.64,87.351625,0.0331,80.45,939.0,5309.0,0.79,0.95,0.0195,777.06,15.312,15.2548
Kepler-460 c,KIC 5437945,Transit,2016,220.1303357,0.0688,5.52,87.351625,0.0331,80.45,939.0,6146.0,1.26,1.17,0.06,1274.01,13.834,13.7506
Kepler-461 b,Kepler-461,Transit,2016,8.313783059,0.0688,2.58,87.351625,0.0331,80.45,939.0,5634.0,0.91,0.98,0.04,692.158,13.457,13.3335
Kepler-462 b,Kepler-462,Transit,2016,84.6866,0.0688,3.0,53.9,0.042,80.45,939.0,7500.0,1.57,1.59,0.05,596.625,11.632,11.6145
Kepler-462 c,Kepler-462,Transit,2020,207.62,0.0688,4.0,6.0,0.11,80.45,939.0,7500.0,1.57,1.59,0.05,596.625,11.632,11.6145
Kepler-463 b,Kepler-463,Transit,2016,8.981016833,0.0688,3.05,87.351625,0.0331,80.45,939.0,5661.0,0.9,0.87,-0.28,394.804,12.999,12.86
Kepler-464 b,Kepler-464,Transit,2016,7.256965224,0.0688,3.3,87.351625,0.0331,80.45,939.0,5933.0,1.59,1.21,0.19,667.604,12.75,12.6717
Kepler-465 b,Kepler-465,Transit,2016,9.940672466,0.0688,2.95,87.351625,0.0331,80.45,939.0,6310.0,1.29,1.23,0.09,553.077,12.651,12.5914
Kepler-466 b,Kepler-466,Transit,2016,51.07926307,0.0688,2.85,87.351625,0.0331,80.45,939.0,5927.0,1.05,1.04,-0.01,530.122,12.799,12.7632
